THREAT ID,THREAT,VULNERABILITY ID,VULNERABILITY,VTHE,COUNTERMEASURE ID,COUNTERMEASURE
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.3,Recording all changes to a system's configuration
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.4,Implementing a configuration control plan
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.5,Life cycle assurance
M1,Queuing access,V19,Changing system hardware configuration,1,s8,Software for controlling hardware operation
M1,Queuing access,V19,Changing system hardware configuration,1,s8.1,CPU Operation Check
M1,Queuing access,V19,Changing system hardware configuration,1,s8.2,CPU Usage Monitoring
M1,Queuing access,V19,Changing system hardware configuration,1,s8.3,Monitor system memory usage
M1,Queuing access,V19,Changing system hardware configuration,1,s8.4,Disk Activity Monitor
M1,Queuing access,V19,Changing system hardware configuration,1,s8.5,Network activity and traffic monitoring
M1,Queuing access,V19,Changing system hardware configuration,1,s8.6,Compiling network activity statistics
M1,Queuing access,V19,Changing system hardware configuration,1,s8.7,System Disk Performance Check
M1,Queuing access,V19,Changing system hardware configuration,1,s8.8,Remote systems monitoring
M1,Queuing access,V19,Changing system hardware configuration,1,s8.9,Software for UPS management and server shutdown even in the absence of the system administrator
M1,Queuing access,V19,Changing system hardware configuration,1,s8.10,Hardware diagnostic software
M1,Queuing access,V22,Changing system software configuration,1,pr9,Software development/update control
M1,Queuing access,V22,Changing system software configuration,1,pr9.1,Setting the gold standard for software development
M1,Queuing access,V22,Changing system software configuration,1,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes"
M1,Queuing access,V22,Changing system software configuration,1,pr9.3,Definition of system security features
M1,Queuing access,V22,Changing system software configuration,1,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented
M1,Queuing access,V22,Changing system software configuration,1,pr9.5,Assignment of authorized personnel to develop safety procedures
M1,Queuing access,V22,Changing system software configuration,1,pr9.6,Perform file access controls for analysts and programmers
M1,Queuing access,V22,Changing system software configuration,1,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects"
M1,Queuing access,V22,Changing system software configuration,1,pr9.8,Functional tests on the correct functioning of safety procedures
M1,Queuing access,V22,Changing system software configuration,1,pr9.9,Functional testing of security procedure vulnerabilities
M1,Queuing access,V22,Changing system software configuration,1,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken
M1,Queuing access,V22,Changing system software configuration,1,pr9.11,System Penetration Test
M1,Queuing access,V22,Changing system software configuration,1,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration"
M1,Queuing access,V22,Changing system software configuration,1,pr9.13,Formal demonstrations of how the software works
M1,Queuing access,V22,Changing system software configuration,1,pr21,Hardware and software inventory
M1,Queuing access,V22,Changing system software configuration,1,pr26,Configuration Management
M1,Queuing access,V22,Changing system software configuration,1,pr26.1,Assigning a unique identifier to each entry
M1,Queuing access,V22,Changing system software configuration,1,pr26.2,Developing a Configuration Management Plan
M1,Queuing access,V22,Changing system software configuration,1,pr26.3,Recording all changes to a system's configuration
M1,Queuing access,V22,Changing system software configuration,1,pr26.4,Implementing a configuration control plan
M1,Queuing access,V22,Changing system software configuration,1,pr26.5,Life cycle assurance
M1,Queuing access,V22,Changing system software configuration,1,s7,Software for controlling system hardware/software configurations
M1,Queuing access,V22,Changing system software configuration,1,s7.1,Central Processing Unit Configuration Control
M1,Queuing access,V22,Changing system software configuration,1,s7.2,Check communication ports connected to the network
M2,Power supply,V29,Unstable power supply,1,h6,"Protection from surges, falls, and power failures"
M2,Power supply,V29,Unstable power supply,1,h6.1,UPS
M2,Power supply,V29,Unstable power supply,1,h6.2,Voltage stabilizers
M2,Power supply,V29,Unstable power supply,1,h6.3,Emergency batteries
M2,Power supply,V29,Unstable power supply,1,h6.4,Line filters
M2,Power supply,V29,Unstable power supply,1,h6.5,Circuits for isolated earth connections from apparatus to apparatus
M2,Power supply,V29,Unstable power supply,1,h6.6,Pipes near the CED electrically grounded or in PVC
M3,Power supply,V35,System not protected from electrostatic charges,1,h15,Anti-static protections
M3,Power supply,V35,System not protected from electrostatic charges,1,h15.1,Adoption of antistatic operator chairs
M3,Power supply,V35,System not protected from electrostatic charges,1,h15.2,Ground connections
M3,Flooding,V12,Untested emergency procedures,1,pr6,Emergency plan
M3,Flooding,V12,Untested emergency procedures,1,pr6.1,Procedure manual to be provided to the personnel in charge
M3,Flooding,V12,Untested emergency procedures,1,pr6.2,Placement of emergency procedure summary tables (including emergency and management telephone numbers)
M3,Flooding,V12,Untested emergency procedures,1,pr6.3,Establish rules to verify that an emergency situation actually exists
M3,Flooding,V12,Untested emergency procedures,1,pr6.4,Procedure for recovering damaged data
M3,Flooding,V12,Untested emergency procedures,1,pr6.5,Presence of a checklist for emergency procedures
M3,Flooding,V12,Untested emergency procedures,1,pr6.6,Procedures for repairing or replacing malfunctioning or defective hardware
M3,Flooding,V12,Untested emergency procedures,1,pr6.7,Emergency data deletion/destruction procedures
M3,Flooding,V12,Untested emergency procedures,1,pr6.8,Locking backups in fireproof safes
M3,Flooding,V12,Untested emergency procedures,1,pr6.9,Obligation to contact the Security Officer
M3,Flooding,V12,Untested emergency procedures,1,pr6.10,Obligation to contact any external support services
M3,Flooding,V12,Untested emergency procedures,1,pr6.11,"Computer shutdown plan, air conditioning systems, electrical systems"
M3,Flooding,V12,Untested emergency procedures,1,pr6.12,"Periodic review of the emergency plan, with any updates or changes"
M3,Flooding,V12,Untested emergency procedures,1,pr6.13,Test and simulate emergency procedures at least once every six months
M3,Flooding,V27,Inadequate flood protection,3,f1,"CED area isolation, with separate location, to minimize damage from water or fire"
M3,Flooding,V27,Inadequate flood protection,3,f2,Arrangement of an alternative data processing center area at least on the first floor/level for flood protection
M3,Flooding,V27,Inadequate flood protection,3,f8,Environmental parameter control
M3,Flooding,V27,Inadequate flood protection,3,f8.4,Flood control with sensors positioned above and below the raised floor
M3,Flooding,V27,Inadequate flood protection,3,f8.6,Humidity control
M3,Flooding,V27,Inadequate flood protection,3,f8.7,Audible and visual alarm in case of fire or flood
M3,Flooding,V27,Inadequate flood protection,3,f12,Anti-flooding measures
M3,Flooding,V27,Inadequate flood protection,3,f12.1,Automatic water system shutdown
M3,Flooding,V27,Inadequate flood protection,3,f12.2,Manual water system shutdown
M3,Flooding,V27,Inadequate flood protection,3,f12.3,Watertight bulkheads
M3,Flooding,V27,Inadequate flood protection,3,f12.4,Anti-flooding pumps
M3,Flooding,V27,Inadequate flood protection,3,f12.5,Drainage outlets
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9,Software development/update control
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.1,Setting the gold standard for software development
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes"
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.3,Definition of system security features
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.5,Assignment of authorized personnel to develop safety procedures
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.6,Perform file access controls for analysts and programmers
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects"
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.8,Functional tests on the correct functioning of safety procedures
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.9,Functional testing of security procedure vulnerabilities
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.11,System Penetration Test
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration"
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr9.13,Formal demonstrations of how the software works
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,pr22,Assigning access to application software and operating system according to need-to-know and qualification
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,s9,"Implementation of ""discretionary access control"""
M4,Asynchronous attack,V3,Uncontrolled changes to the application software,2,s10,"Implementation of ""mandatory access control"""
M5,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr21,Hardware and software inventory
M6,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26,Configuration Management
M7,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.1,Assigning a unique identifier to each entry
M8,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.2,Developing a Configuration Management Plan
M9,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.3,Recording all changes to a system's configuration
M10,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.4,Implementing a configuration control plan
M11,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.5,Life cycle assurance
M12,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s7,Software for controlling system hardware/software configurations
M13,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s7.1,Central Processing Unit Configuration Control
M14,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s7.2,Check communication ports connected to the network
M15,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s11,Trusted path
M16,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s13,RAM resident application control program
M17,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s14,Antivirus applications
M18,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s14.1,Control of major operating system calls or specific malicious actions via TSR procedures
M19,Asynchronous attack,V4,Failure to periodically check the procedures installed on the system,3,s14.2,"Programs for scanning files, identifying the virus strain, identifying the type of infection, deleting infected files"
M20,Asynchronous attack,V7,Untested software applications,2,pr9,Software development/update control
M21,Asynchronous attack,V7,Untested software applications,2,pr9.1,Setting the gold standard for software development
M22,Asynchronous attack,V7,Untested software applications,2,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes"
M23,Asynchronous attack,V7,Untested software applications,2,pr9.3,Definition of system security features
M24,Asynchronous attack,V7,Untested software applications,2,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented
M25,Asynchronous attack,V7,Untested software applications,2,pr9.5,Assignment of authorized personnel to develop safety procedures
M26,Asynchronous attack,V7,Untested software applications,2,pr9.6,Perform file access controls for analysts and programmers
M27,Asynchronous attack,V7,Untested software applications,2,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects"
M28,Asynchronous attack,V7,Untested software applications,2,pr9.8,Functional tests on the correct functioning of safety procedures
M29,Asynchronous attack,V7,Untested software applications,2,pr9.9,Functional testing of security procedure vulnerabilities
M30,Asynchronous attack,V7,Untested software applications,2,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken
M31,Asynchronous attack,V7,Untested software applications,2,pr9.11,System Penetration Test
M32,Asynchronous attack,V7,Untested software applications,2,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration"
M33,Asynchronous attack,V7,Untested software applications,2,pr9.13,Formal demonstrations of how the software works
M34,Asynchronous attack,V23,Unauthorized software applications,2,pe3,Instructions on safety and personnel management
M35,Asynchronous attack,V23,Unauthorized software applications,2,pe3.1,Motivate staff to follow the company's safety policy
M36,Asynchronous attack,V23,Unauthorized software applications,2,pe3.2,Educate staff on possible threats and how to limit their extent by implementing mitigation measures.
M37,Asynchronous attack,V23,Unauthorized software applications,2,pe3.3,"Maintain constant attention to safety regulations by adopting posters, circular letters, educational videos"
M38,Asynchronous attack,V23,Unauthorized software applications,2,pe3.4,Avoid situations of discontent on the part of employees
M39,Asynchronous attack,V23,Unauthorized software applications,2,pe3.5,Regularly review staff safety training
M40,Asynchronous attack,V23,Unauthorized software applications,2,pe3.6,Keep staff informed of safety news
M41,Asynchronous attack,V23,Unauthorized software applications,2,pe3.7,Maintain a climate of serenity within the company
M42,Asynchronous attack,V23,Unauthorized software applications,2,pe5,Establish a user support staff to perform security checks and provide assistance with security issues
M43,Asynchronous attack,V23,Unauthorized software applications,2,pr21,Hardware and software inventory
M44,Asynchronous attack,V23,Unauthorized software applications,2,pr22,Assigning access to application software and operating system according to need-to-know and qualification
M45,Asynchronous attack,V23,Unauthorized software applications,2,pr26,Configuration Management
M46,Asynchronous attack,V23,Unauthorized software applications,2,pr26.1,Assigning a unique identifier to each entry
M47,Asynchronous attack,V23,Unauthorized software applications,2,pr26.2,Developing a Configuration Management Plan
M48,Asynchronous attack,V23,Unauthorized software applications,2,pr26.3,Recording all changes to a system's configuration
M49,Asynchronous attack,V23,Unauthorized software applications,2,pr26.4,Implementing a configuration control plan
M50,Asynchronous attack,V23,Unauthorized software applications,2,pr26.5,Life cycle assurance
M51,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s3,Logical work area separation
M52,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s3.1,RAM memory area separation
M53,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s3.2,Partitioning work areas on mass storage devices
M54,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s3.3,"CPU operation in ""protected mode"""
M55,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4,Reusing objects
M56,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.1,Erasing blocks or pages of memory before they are allocated to another program or data
M57,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.2,Erase disk blocks when a file is deleted or before they are allocated to a new file
M58,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.3,Deleting objects from a graphical environment before allocating them to another user
M59,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.4,Clearing the keyboard buffer or buffer containing the password after logging in
M60,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.5,Deleting work pages and display pages from a terminal
M61,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.6,Clearing the printer buffer
M62,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s4.7,Deleting or reassigning access to information entered/processed by a user who no longer works on the system
M63,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s9,"Implementation of ""discretionary access control"""
M64,Asynchronous attack,V21,Insufficient separation of logical work areas,2,s10,"Implementation of ""mandatory access control"""
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9,Software development/update control
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.1,Setting the gold standard for software development
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes"
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.3,Definition of system security features
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.5,Assignment of authorized personnel to develop safety procedures
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.6,Perform file access controls for analysts and programmers
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects"
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.8,Functional tests on the correct functioning of safety procedures
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.9,Functional testing of security procedure vulnerabilities
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.11,System Penetration Test
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration"
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr9.13,Formal demonstrations of how the software works
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,pr22,Assigning access to application software and operating system according to need-to-know and qualification
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,s9,"Implementation of ""discretionary access control"""
M5,Trojan Horse Attack,V3,Uncontrolled changes to the application software,2,s10,"Implementation of ""mandatory access control"""
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr21,Hardware and software inventory
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26,Configuration Management
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.1,Assigning a unique identifier to each entry
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.2,Developing a Configuration Management Plan
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.3,Recording all changes to a system's configuration
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.4,Implementing a configuration control plan
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,pr26.5,Life cycle assurance
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s7,Software for controlling system hardware/software configurations
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s7.1,Central Processing Unit Configuration Control
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s7.2,Check communication ports connected to the network
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s11,Trusted path
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s13,RAM resident application control program
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s14,Antivirus applications
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s14.1,Control of major operating system calls or specific malicious actions via TSR procedures
M5,Trojan Horse Attack,V4,Failure to periodically check the procedures installed on the system,3,s14.2,"Programs for scanning files, identifying the virus strain, identifying the type of infection, deleting infected files"
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9,Software development/update control
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.1,Setting the gold standard for software development
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.2,"Maintain a log of software changes, implementations, and the reasons for those changes"
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.3,Definition of system security features
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.4,Establish control measures to ensure that approval and verification procedures are not circumvented
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.5,Assignment of authorized personnel to develop safety procedures
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.6,Perform file access controls for analysts and programmers
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.7,"Periodically check software libraries, verify correspondence between source programs and objects"
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.8,Functional tests on the correct functioning of safety procedures
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.9,Functional testing of security procedure vulnerabilities
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.10,Simulations of system errors that can reduce the effectiveness of the measures taken
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.11,System Penetration Test
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.12,"Identify all possible ""trap doors"" and use them to check the risk of penetration"
M5,Trojan Horse Attack,V7,Untested software applications,2,pr9.13,Formal demonstrations of how the software works
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1,Identification and authentication
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.1,Password is not displayed on screen as you type
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.2,The password is case sensitive.
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.3,Password requires special characters
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.4,Password must contain at least one numeric character
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.5,Password must contain at least one alphabetic character
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.6,The password must not contain more than three consecutive numbers or letters
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.7,The password must not contain more than two consecutive identical numbers or letters
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.8,New passwords must always be entered twice to verify correct typing.
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.9,Encryption of passwords in transit on the network
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.10,Encryption of passwords stored on the host
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.11,Access blocked after n failed login attempts
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.12,Time-limited access
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.13,Viewing Last Login Messages
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.14,Disabling system messages
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.15,Periodic password change request
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.16,Request for a different password from the previous one each time it is changed
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.17,Creation of pronounceable passwords by the system
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.18,Password expiration control
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.19,Minimum password length assignment
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.20,Consecutive request for multiple passwords after entering userid
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.21,Check new user-generated passwords
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.22,Stop requesting the userid for a certain period of time after n failed login attempts
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.23,Identification of a user with a unique personal code
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.24,Inactive terminals lock the screen or log off after a predetermined period of time
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.25,Proxy account routing
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.26,User account routing
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s1.27,"The system does not warn the user that the userid is incorrect and still allows the password to be entered. After the password has been entered, it generically communicates that access has not been permitted"
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s9,"Implementation of ""discretionary access control"""
M5,Trojan Horse Attack,V9,Non-existent logical access procedures,4,s10,"Implementation of ""mandatory access control"""
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1,Identification and authentication
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.1,Password is not displayed on screen as you type
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.2,The password is case sensitive.
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.3,Password requires special characters
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.4,Password must contain at least one numeric character
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.5,Password must contain at least one alphabetic character
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.6,The password must not contain more than three consecutive numbers or letters
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.7,The password must not contain more than two consecutive identical numbers or letters
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.8,New passwords must always be entered twice to verify correct typing.
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.9,Encryption of passwords in transit on the network
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.10,Encryption of passwords stored on the host
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.11,Access blocked after n failed login attempts
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.12,Time-limited access
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.13,Viewing Last Login Messages
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.14,Disabling system messages
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.15,Periodic password change request
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.16,Request for a different password from the previous one each time it is changed
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.17,Creation of pronounceable passwords by the system
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.18,Password expiration control
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.19,Minimum password length assignment
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.20,Consecutive request for multiple passwords after entering userid
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.21,Check new user-generated passwords
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.22,Stop requesting the userid for a certain period of time after n failed login attempts
M5,Trojan Horse Attack,V8,Inadequate logical access control,4,s1.23,Identification of a user with a unique personal code
