scenario id,user,assistant - extended,assistant - short,assistant - details,assistant - risk id,assistant - risk description,assistant - vulnerability id,assistant - vulnerability description,assistant - risk occurrence type
 S179," Software updates concern only the antivirus, and are done online.", The described scenario presents at least one security threat., Yes, Updates must concern all security and critical components of the system and can only be performed through specific off-line procedures., M18, Interception and espionage, V1, Communication channels not adequately protected, Real
 S168,"The access and exit of employees and visitors to the CIS Platform are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M27, Violation of login procedures, V23, Unauthorized software applications, Real
 S168,"The access and exit of employees and visitors to the CIS Platform are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M6, Computer virus attack, V14, Inadequate supervision, Real
 S72, There are no antivirus programs installed on the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to malware, M26, Unnoticed data theft, V4, Failure to periodically check the procedures installed on the system, Real
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M5, Trojan Horse Attack, V23, Unauthorized software applications, Potential
 S22, There is no written procedure, The described scenario presents at least one security threat., Yes, Users cannot refer to certain and formally approved procedures, M13, Destruction of the CED area, V12, Untested emergency procedures, Real
 S68," The system is put into operation and used as is, without any prior or subsequent checks.", The described scenario presents at least one security threat., Yes, System security is not evaluated, M28, Network worm, V14, Inadequate supervision, Real
 S110, Computers and servers are delivered to the equipment maintenance technicians for repair with the mass storage media inserted., The described scenario presents at least one security threat., Yes," The system can be (negligently, maliciously or accidentally) infected by malware by technicians", M5, Trojan Horse Attack, V7, Untested software applications, Real
 S35, There is a register for access to restricted areas, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the methods of recording access to restricted areas are adequate, M25, Sabotage, V14, Inadequate supervision, Potential
 S14," The system is installed in the highest-ranking operating mode, and only authorized users can access documents.", The scenario is not sufficiently characterized to perform a preliminary analysis., More, There are no details on how to access the documents, M26, Unnoticed data theft, V14, Inadequate supervision, Potential
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M22, Hidden access doors, V3, Uncontrolled changes to the application software, Real
 S44, Is there any control over external drives connected to the system or your work computer?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, The ways in which external storage media are controlled are not detailed enough, M20, Service interruption, V14, Inadequate supervision, Potential
 S68," The system is put into operation and used as is, without any prior or subsequent checks.", The described scenario presents at least one security threat., Yes, System security is not evaluated, M28, Network worm, V4, Failure to periodically check the procedures installed on the system, Real
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M6, Computer virus attack, V16, Untrained staff, Real
 S110, Computers and servers are delivered to the equipment maintenance technicians for repair with the mass storage media inserted., The described scenario presents at least one security threat., Yes, Technicians can steal data, M26, Unnoticed data theft, V7, Untested software applications, Real
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M10,Covert storage channel, V7, Untested software applications, Potential
 S11," Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office", The described scenario presents at least one security threat., Yes, The system is vulnerable to unauthorized logical access, M27, Violation of login procedures, V8, Inadequate logical access control, Real
 S18, Application logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M27, Violation of login procedures, V23, Unauthorized software applications, Potential
 S54,Printed sheets are left unattended on the desk, The described scenario presents at least one security threat., Yes, Paper information can be easily stolen, M26, Unnoticed data theft, V14, Inadequate supervision, Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M7, Logic bombs, V3, Uncontrolled changes to the application software, Potential
 S110, Computers and servers are delivered to the equipment maintenance technicians for repair with the mass storage media inserted., The described scenario presents at least one security threat., Yes," The system can be (negligently, maliciously or accidentally) infected by malware by technicians", M11, Covert timing channel, V3, Uncontrolled changes to the application software, Real
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M11, Covert timing channel, V4, Failure to periodically check the procedures installed on the system, Real
 S138," If the envelope containing the Application Administrator password is opened, the password remains the same and is only changed when decided by the person who used it.", The described scenario presents at least one security threat., Yes, The System Administrator password management methods are not adequate, M21, Masking, V8, Inadequate logical access control, Real
 S92, No maintenance is carried out on the premises and systems, The described scenario presents at least one security threat., Yes, Lack of maintenance can lead to emergency situations, M8, Lightning strike, V34, System not protected from lightning, Real
 S40, No data backups are made, The described scenario presents at least one security threat., Yes,There are no data backups in case of emergencies, M8, Lightning strike, V12, Untested emergency procedures, Real
 S168,"The access and exit of employees and visitors to the CIS Application are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M11, Covert timing channel, V3, Uncontrolled changes to the application software, Real
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M26, Unnoticed data theft, V14, Inadequate supervision, Real
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M27, Violation of login procedures, V7, Untested software applications, Real
 S10, Anyone can access the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to unauthorized logical access, M7, Logic bombs, V9, Non-existent logical access procedures, Real
 S45,"You can connect to the system or to your work computer only and exclusively external drives, appropriately labelled and stored in specific security containers based on the highest classification level of the data contained in them, listed in the specific register of authorised media.", The described scenario presents no known security threats., No,,,,,,
 S183," The security organization's responsibility is to verify that the CIS Service maintains its functionality characteristics over time, regardless of the effectiveness of its security features.", The described scenario presents at least one security threat., Yes, It is mandatory to verify that the security measures implemented in the CIS System maintain their effectiveness over time, M7, Logic bombs, V4, Failure to periodically check the procedures installed on the system, Real
 S168,"The access and exit of employees and visitors to the CIS Platform are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M26, Unnoticed data theft, V7, Untested software applications, Real
 S10, Anyone can access the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to unauthorized logical access, M6, Computer virus attack, V9, Non-existent logical access procedures, Real
 S176," In case of any malfunction of all the HW components of the Application (PC, server, switch, etc.) users contact the company in charge of maintenance directly without informing anyone else.", The described scenario presents at least one security threat., Yes,"Only the System Administrator can contact the company in charge of maintenance, informing the CIS Security Officer in advance", M16, Fire, V12, Untested emergency procedures, Real
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M27, Violation of login procedures, V23, Unauthorized software applications, Real
 S88," The waste material is sent directly to the landfill, without any control", The described scenario presents at least one security threat., Yes, Uncontrolled abandoned material may contain recoverable classified data, M9, Searching through the garbage, V15, Ignorance of safety procedures, Real
 S160, Users have access to configuration/administration procedures and management tools, The described scenario presents at least one security threat., Yes, Users must not have access to configuration/administration procedures and management tools, M17, Entering false information, V14, Inadequate supervision, Real
 S40, No data backups are made, The described scenario presents at least one security threat., Yes,There are no data backups in case of emergencies, M16, Fire, V12, Untested emergency procedures, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M21, Masking, V24, Abandoned waste material, Potential
 S168,"The access and exit of employees and visitors to the CIS Application are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M27, Violation of login procedures, V8, Inadequate logical access control, Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M10, Covert storage channel, V7, Untested software applications, Potential
 S168,"The access and exit of employees and visitors to the CIS Platform are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M7, Logic bombs, V3, Uncontrolled changes to the application software, Real
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M7, Logic bombs, V7, Untested software applications, Potential
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M5, Trojan Horse Attack, V3, Uncontrolled changes to the application software, Real
 S96, There are no special procedures during the processing of sensitive data, The described scenario presents at least one security threat., Yes, It is very easy to steal data secretly, M26, Unnoticed data theft, V25, Insufficient information surveillance, Real
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M28, Network worm, V9, Non-existent logical access procedures, Potential
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M11,Covert timing channel, V7, Untested software applications, Real
 S65,"Only the software authorized by the Security Manager may be installed on the system by the Service Administrator only, after an appropriate security assessment has been carried out. Said software is also reported in the system configuration change log.", The described scenario presents no known security threats., No,,,,,,
 S18, Application logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M6, Computer virus attack, V23, Unauthorized software applications, Potential
 S189,The communication channels between the servers and between them and the clients are protected via VPN generated by a third-party cloud service., The described scenario presents at least one security threat., Yes, It is not possible to use cloud services for CIS Systems as Internet connection is prohibited, M24, Playback Retransmission, V1, Communication channels not adequately protected, Real
 S185," There is freedom of access and exit from the premises by vehicles and people. Furthermore, people can oppose any requests for control both for themselves and for the vehicle used to access the premises", The described scenario presents at least one security threat., Yes, The security measures for access to the premises are not suitable, M15, Physical theft of media, V32, Inadequate access control to the CED area, Real
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M4, Asynchronous attack, V4, Failure to periodically check the procedures installed on the system, Potential
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M23, Unconditional access procedure, V2, Uncontrolled changes to the operating system, Potential
 S183," The security organization's responsibility is to verify that the CIS Service maintains its functionality characteristics over time, regardless of the effectiveness of its security features.", The described scenario presents at least one security threat., Yes, It is mandatory to verify that the security measures implemented in the CIS System maintain their effectiveness over time, M28,Network worm, V4, Failure to periodically check the procedures installed on the system, Real
 S67," All software produced internally by the company must comply with precise procedures relating to the tools and best security practices to be used for writing, checking, reviewing and testing the produced code.", The described scenario presents no known security threats., No,,,,,,
 S22, There is no written procedure, The described scenario presents at least one security threat., Yes, Users cannot refer to certain and formally approved procedures, M6, Computer virus attack, V16, Untrained staff, Real
 S173, All storage media are properly protected to prevent disclosure of information during maintenance work on the CIS Service workstations with at-rest encryption based on certified algorithms., The described scenario presents no known security threats., No,,,,,,
S37," The computers are installed in ""open space"" offices also open to the public", The described scenario presents at least one security threat., Yes, Anyone can have direct access to the stations, M7, Logic bombs, V14, Inadequate supervision, Real
 S143," The Restricted Areas are protected by appropriate security measures (such as, for example, armoured doors, anti-intrusion alarm systems, safes and security containers for the storage of classified information)", The scenario is not sufficiently characterized to perform a preliminary analysis., More, The level of detail is not sufficient to understand the adequacy of the security measures adopted, M26, Unnoticed data theft, V14, Inadequate supervision, Potential
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M14, Accidental error, V14, Inadequate supervision, Potential
 S158, Inspections are carried out annually by external personnel in order to check the maintenance and observance of the safety regulations and procedures in force., The described scenario presents at least one security threat., Yes," Inspections must be conducted by the Safety Officer assisted, where necessary, only by authorised internal personnel.", M22,Hidden access doors, V7, Untested software applications, Real
 S120," In case of emergency, the staff immediately abandons their positions and leaves the documents where they are to get to safety as soon as possible.", The described scenario presents at least one security threat., Yes, Emergency procedures are not correct, M3, Flooding, V12, Untested emergency procedures, Real
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M7, Logic bombs, V16, Untrained staff, Real
 S127, Are there any procedures for installing new hardware/software?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to understand whether the procedures are adequate, M19, Electromagnetic interference, V19, Changing system hardware configuration, Potential
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M7, Logic bombs, V7, Untested software applications, Real
 S34, There is no register for access to restricted areas, The described scenario presents at least one security threat., Yes, It is not possible to verify who has accessed the restricted areas, M28, Network worm, V14, Inadequate supervision, Real
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M14, Accidental error, V15, Ignorance of safety procedures, Real
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M7, Logic bombs, V23, Unauthorized software applications, Real
 S82," The CED is installed inside a room with plasterboard walls, closed with a normal wooden door", The described scenario presents at least one security threat., Yes, The walls of the data center room do not offer adequate resistance, M13, Destruction of the CED area, V38, System not protected from explosions, Real
 S138," If the envelope containing the Service Administrator password is opened, the password remains the same and is only changed when decided by the person who used it.", The described scenario presents at least one security threat., Yes, The System Administrator password management methods are not adequate, M1, Queuing access, V8, Inadequate logical access control, Real
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M11, Covert timing channel, V23, Unauthorized software applications, Real
 S35, There is a register for access to restricted areas, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the methods of recording access to restricted areas are adequate, M25, Sabotage, V32, Inadequate access control to the CED area, Potential
 S117,All locations where the processing of classified data is carried out have been approved in accordance with the maximum classification level of the data itself., The described scenario presents no known security threats., No,,,,,,
 S106, The user can continue to use the password provided to him for the first access to the system, The described scenario presents at least one security threat., Yes, The logical access control system is not adequate, M5, Trojan Horse Attack, V9, Non-existent logical access procedures, Real
 S89," Before being thrown away, printed documents are passed through a shredder corresponding to the category of the classification level of the information to be destroyed, while digital media are first overwritten 35 times and then demagnetized, finally mechanically destroyed.", The described scenario presents no known security threats., No,,,,,,
 S64, Any software can be installed on the system, The described scenario presents at least one security threat., Yes, The system may run uncontrolled and unauthorized software, M28, Network worm, V7, Untested software applications, Real
 S32, There is a log of changes made to the system, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear how changes made to the system are tracked., M28, Network worm, V3, Uncontrolled changes to the application software, Potential
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M21, Masking, V8, Inadequate logical access control, Potential
 S23, There are written procedures, The scenario is not sufficiently characterized to perform a preliminary analysis., More,It is not possible to know with sufficient certainty whether users can refer to correct procedures, M26, Unnoticed data theft, V15, Ignorance of safety procedures, Potential
 S135, The keys to the reserved areas can only be delivered to those who are authorised and after completing the appropriate register required by current legislation., The described scenario presents no known security threats., No,,,,,,
 S18, Application logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M11, Covert timing channel, V7, Untested software applications, Potential
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M14, Accidental error, V10, Incorrect input/output procedures, Real
 S164," The CIS Application services are managed based on user access rights, identification and assignment of access rights are managed directly by the system users.", The described scenario presents at least one security threat., Yes, Only the CIS Security Officer and the System Administrator must manage the users and assign the related rights, M6, Computer virus attack, V8, Inadequate logical access control, Real
 S7, A fire protection system with smoke detector and temperature control system is installed on the site, The scenario is not sufficiently characterized to perform a preliminary analysis., More, Details on the type of fire prevention system are missing, M16, Fire, V26,Inadequate fire protection, Potential
 S78, The staff are not given any specific instructions and are left to deal with their own complaints., The described scenario presents at least one security threat., Yes, Staff are not trained and are not incentivized to follow the company safety policy, M10, Covert storage channel, V23, Unauthorized software applications, Real
 S180,"Software updates concern only the antivirus, and are performed offline.", The described scenario presents at least one security threat., Yes, Updates must cover all security and critical system components., M14, Accidental error, V6, Insufficient error detection, Real
 S193," The management of the utilities is entrusted to the staff of the parent company, who makes the necessary changes remotely by connecting from another country, communicating the list of added/modified/suspended and cancelled utilities to the CIS Security Officer on a monthly basis.", The described scenario presents at least one security threat., Yes, The utilities must be managed and authorized by the CIS Security Officer, M28, Network worm, V9, Non-existent logical access procedures, Real
 S100, Emergency procedures exist but they are known only to managers, The described scenario presents at least one security threat., Yes, Staff do not have access to emergency procedures, M3, Flooding, V12, Untested emergency procedures, Real
 S168,"The access and exit of employees and visitors to the CIS Application are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M14, Accidental error, V10, Incorrect input/output procedures, Real
 S160, Users have access to configuration/administration procedures and management tools, The described scenario presents at least one security threat., Yes, Users must not have access to configuration/administration procedures and management tools, M25, Sabotage, V14, Inadequate supervision, Real
 S68," The system is put into operation and used as is, without any prior or subsequent checks.", The described scenario presents at least one security threat., Yes, System security is not evaluated, M17, Entering false information, V14, Inadequate supervision, Real
 S34, There is no register for access to restricted areas, The described scenario presents at least one security threat., Yes, It is not possible to verify who has accessed the restricted areas, M20, Service interruption, V14, Inadequate supervision, Real
 S142, Only personnel authorized to handle classified information may access the Restricted Areas where such information is handled and/or stored., The described scenario presents no known security threats., No,,,,,,
 S60, Visitors are not accompanied when authorized, The described scenario presents at least one security threat., Yes, Visitors can steal media, M15, Physical theft of media, V32, Inadequate access control to the CED area, Real
 S131,Authorized technicians may be given the equipment used for processing classified data, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not clear whether the devices are delivered to the technicians without the mass storage devices., M5, Trojan Horse Attack, V14, Inadequate supervision, Potential
 S118, There are several locations where classified data is processed but only the main one has a security organization, The described scenario presents at least one security threat., Yes, In case of emergency there is no reference figure at the headquarters to contact, M3, Flooding, V12, Untested emergency procedures, Real
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M10, Covert storage channel, V3, Uncontrolled changes to the application software, Real
